timestamp,biomass,hydro,wind_offshore,wind_onshore,solar,other_renewables,nuclear,lignite,hard_coal,gas,pumped_storage_generation,other_conventional,dst_occurrence,load,load_incl_pumped_storage,pumped_storage_consumption,residual_load,price_germany,price_belgium,price_denmark,price_france,price_netherlands,price_austria,price_poland,price_switzerland
2021-01-01 00:00:00,4481.0,1203.0,383.0,3928.25,1.0,213.0,8144.75,11608.5,3443.75,6923.0,347.25,1637.5,0,44569.25,44957.5,388.25,40257.0,50.87,50.87,50.87,50.87,50.87,50.87,34.18,50.98
2021-01-01 01:00:00,4453.0,1192.75,394.5,3528.25,1.0,213.25,8150.25,11602.75,3044.75,6688.0,518.5,1636.0,0,42806.0,43124.5,318.5,38882.25,48.19,48.19,48.19,48.19,48.19,48.19,32.61,45.94
2021-01-01 02:00:00,4440.5,1161.0,305.25,3198.0,1.0,216.5,8156.5,11758.5,3067.25,6586.0,170.0,1630.0,0,41049.75,42862.5,1812.75,37545.5,44.68,44.68,44.68,44.68,44.68,44.68,32.58,44.53
2021-01-01 03:00:00,4424.75,1177.75,319.25,2768.75,1.0,218.0,8153.75,12337.5,2852.5,6396.5,2.0,1621.5,0,40233.75,43908.5,3674.75,37144.75,42.92,42.92,42.92,42.92,42.92,42.92,32.2,41.01
2021-01-01 04:00:00,4430.75,1153.25,296.25,2462.25,1.0,221.5,8150.5,12395.0,2713.25,6333.0,6.0,1621.5,0,40210.5,44539.25,4328.75,37451.0,40.39,40.39,40.39,40.39,40.39,40.39,29.16,39.23
2021-01-01 05:00:00,4451.0,1144.25,432.0,2119.0,1.0,219.75,8150.25,12699.5,2736.5,6425.25,33.5,1649.0,0,39580.25,43067.5,3487.25,37028.25,40.2,40.2,40.2,40.2,40.2,40.2,28.46,38.43
2021-01-01 06:00:00,4491.25,1157.25,510.25,2008.75,1.0,219.0,8154.5,13051.0,2836.5,6463.25,89.75,1660.75,0,38959.25,42045.75,3086.5,36439.25,39.63,39.63,39.63,39.63,39.63,39.63,28.11,39.57
2021-01-01 07:00:00,4561.25,1154.5,389.25,1966.0,1.25,219.0,8152.75,12472.5,2952.0,6539.0,914.0,1661.0,0,39475.75,41559.25,2083.5,37119.25,40.09,40.09,40.09,40.09,40.09,40.09,28.46,40.78
2021-01-01 08:00:00,4646.25,1150.5,359.5,2070.0,191.75,219.25,8157.5,12435.75,3087.25,6934.0,68.5,1648.5,0,40596.25,42275.75,1679.5,37975.0,41.27,41.27,41.27,41.27,41.27,41.27,28.46,42.72
2021-01-01 09:00:00,4655.25,1161.25,248.25,2120.25,1334.75,220.25,8160.0,12169.5,3085.0,7423.75,124.75,1652.5,0,42974.0,44302.25,1328.25,39270.75,44.88,44.88,44.88,44.88,44.88,44.88,30.62,44.32
